Fund,Scheme,Category,Sub Category,Rating,Units Held,Average Cost Price,Value At Cost,Last Recorded NAV On,Last Recorded NAV,Value at NAV,Realized Profit/Loss,Profit/ Loss,Profit/ Loss %,Research Recommends
BANDHAN MUTUAL FUND,Bandhan Large Cap Fund - Regular Plan - Growth,Equity,Large Cap Fund,4,931.892,52.77,49177.47,23-Jan-26,76.689,"71,465.87",0,22288.39,45.32,Gold
SBI FUNDS MANAGEMENT PVT LTD,SBI Elss Tax Saver Fund - Growth,Equity,Tax Planning,5,156.809,408.12,63996.61,23-Jan-26,434.106,"68,071.73",0,4075.11,6.37,Silver
MOTILAL OSWAL ASSET MANAGEMENT COMPANY LIMITED,Motilal Oswal Midcap Fund - Regular Growth,Equity,Mid Cap Fund,5,716.958,75.53,54150.9,23-Jan-26,91.5177,"65,614.35",0,11463.45,21.17,Bronze
UTI MUTUAL FUND,UTI Value Fund -Regular Plan-Growth,Equity,Value Fund,3,372.96,109.99,41021.09,23-Jan-26,167.6028,"62,509.14",27082.78,21488.05,52.38,Silver
UTI MUTUAL FUND,UTI Nifty 50 Index Fund - Growth,Others,Index Fund,4,345.591,159.14,54997.27,23-Jan-26,172.5453,"59,630.10",0,4632.83,8.42,N/A
BANDHAN MUTUAL FUND,Bandhan Small cap Fund Regular Plan-Growth,Equity,Small Cap Fund,0,1326.455,42.22,55997.2,23-Jan-26,43.454,"57,639.78",0,1642.57,2.93,N/A
ADITYA BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LTD,Aditya Birla Sun Life Small Cap Fund - Growth,Equity,Small Cap Fund,1,606.637,59.71,36219.3,23-Jan-26,79.065,"47,963.75",0,11744.45,32.43,Bronze
AXIS ASSET MANAGEMENT COMPANY LIMITED,AXIS LARGE CAP FUND - Growth,Equity,Large Cap Fund,1,743.277,45.45,33778.32,23-Jan-26,59.67,"44,351.34",0,10573.02,31.3,Silver
PPFAS ASSET MANAGEMENT PRIVATE LIMITED,Parag Parikh Flexi Cap Fund - Growth,Equity,Flexi Cap,5,497.526,83.2,41394.92,23-Jan-26,84.9997,"42,289.56",2218,894.64,2.16,Gold
AXIS ASSET MANAGEMENT COMPANY LIMITED,Axis Small Cap Fund - Growth Plan,Equity,Small Cap Fund,0,372.132,89.44,33285.22,23-Jan-26,98.13,"36,517.31",75242.96,3232.1,9.71,Silver
ICICI PRUDENTIAL MUTUAL FUND,ICICI Prudential Smallcap Fund - Growth,Equity,Small Cap Fund,3,437.102,57.68,25213.97,23-Jan-26,80.9,"35,361.55",0,10147.58,40.25,Gold
FRANKLIN TEMPLETON  MUTUAL FUND,Franklin India Dividend Yield Fund-Growth,Equity,Dividend Yield Fund,0,218.393,137.36,29998.54,23-Jan-26,138.6989,"30,290.87",0,292.33,0.97,Silver
HDFC ASSET MANAGEMENT COMPANY LIMITED,HDFC Small Cap Fund - Regular Plan - Growth Option,Equity,Small Cap Fund,4,209.779,114.4,23998.74,23-Jan-26,130.313,"27,336.93",0,3338.19,13.91,Gold
MAHINDRA ASSET MANAGEMENT COMPANY PRIVATE LIMITED,Mahindra Manulife Small Cap Fund - Regular - Growth,Equity,Small Cap Fund,0,1506.776,16.59,24998.76,23-Jan-26,17.9701,"27,076.92",0,2078.16,8.31,N/A
HDFC ASSET MANAGEMENT COMPANY LIMITED,HDFC Mid Cap Fund - Growth Option,Equity,Mid Cap Fund,5,134.428,179.27,24098.77,23-Jan-26,196.667,"26,437.55",0,2338.78,9.7,Gold
INVESCO MUTUAL FUND,Invesco India Large and Mid Cap Fund - Growth,Equity,Large And Mid Cap Fund,4,266.353,101.36,26998.77,23-Jan-26,93.62,"24,935.97",0,-2062.8,7.64,Silver
MIRAE ASSET GLOBAL INVESTMENT MGMT INDIA P LTD,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Large Cap Fund,3,208.966,106.69,22293.89,23-Jan-26,112.309,"23,468.76",399.74,1174.87,5.27,Silver
BANK OF INDIA INVESTMENT MANAGERS PVT LTD,Bank Of India Flexi Cap Fund Regular Plan - Growth,Equity,Flexi Cap,0,661.657,34.76,22998.84,23-Jan-26,33.75,"22,330.92",0,-667.92,2.9,N/A
ICICI PRUDENTIAL MUTUAL FUND,ICICI Prudential Large and Mid Cap Fund - Growth,Equity,Large And Mid Cap Fund,5,21.39,701.23,14999.23,23-Jan-26,"1,004.57","21,487.75",0,6488.52,43.26,Gold
ADITYA BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LTD,ADITYA BIRLA SUN LIFE PSU EQUITY FUND REGULAR-GROWTH,Equity,Sectoral or Thematic Fund,0,626.031,31.95,19998.98,23-Jan-26,34.19,"21,404.00",0,1405.02,7.03,N/A
QUANTUM ASSET MANAGEMENT COMPANY PVT LTD,Quantum Small Cap Fund- Regular Plan Growth,Equity,Small Cap Fund,0,1548.711,10.33,15999.19,23-Jan-26,12.02,"18,615.51",0,2616.32,16.35,N/A
BANK OF INDIA INVESTMENT MANAGERS PVT LTD,Bank Of India Mid & Small Cap Equity & Debt Fund Regular Plan - Growth,Hybrid,Aggressive Hybrid Fund,4,494.958,37.78,18699.1,23-Jan-26,36.53,"18,080.82",0,-618.28,3.31,Silver
ITI Asset Management Limited,ITI Mid Cap Fund- Regular Plan- Growth,Equity,Mid Cap Fund,0,780.904,21.77,16999.13,23-Jan-26,21.02,"16,414.60",0,-584.53,3.44,N/A
UTI MUTUAL FUND,UTI Nifty200 Momentum 30 Index Fund - Regular Plan Growth,Others,Index Fund,0,794.314,20.14,15999.2,23-Jan-26,20.3818,"16,189.55",0,190.35,1.19,N/A
INVESCO MUTUAL FUND,Invesco India Midcap Fund - Growth,Equity,Mid Cap Fund,4,93.633,181.55,16999.13,23-Jan-26,169.99,"15,916.67",0,-1082.46,6.37,Silver
MAHINDRA ASSET MANAGEMENT COMPANY PRIVATE LIMITED,Mahindra Manulife Multi Cap Fund - Regular - Growth,Equity,Multi Cap Fund,0,451.684,33.21,14999.28,23-Jan-26,34.605,"15,630.52",0,631.24,4.21,N/A
BANK OF INDIA INVESTMENT MANAGERS PVT LTD,Bank Of India Elss Tax Saver - Regular Plan - Growth,Equity,Tax Planning,3,86.223,173.96,14999.23,23-Jan-26,154.12,"13,288.69",0,-1710.54,11.4,Silver
AXIS ASSET MANAGEMENT COMPANY LIMITED,Axis Nifty Bank Index Fund - Regular Plan - Growth,Others,Index Fund,0,898.74,11.24,10099.5,23-Jan-26,11.8708,"10,668.76",0,569.26,5.64,N/A
NIPPON INDIA MUTUAL FUND,Nippon India Silver ETF FOF - Growth,Others,Fund Of Funds Domestic Or Overseas Fund,0,229.907,22.18,5099.75,23-Jan-26,46.2146,"10,625.06",0,5525.31,108.34,N/A
SBI FUNDS MANAGEMENT PVT LTD,SBI Banking and Financial Services Fund - Regular Plan - IDCW,Equity,Sectoral or Thematic Fund,4,185.404,40.45,7499.61,23-Jan-26,40.2604,"7,464.44",0,-35.17,0.47,N/A
NIPPON INDIA MUTUAL FUND,Nippon India Large Cap Fund - Growth Plan - Growth,Equity,Large Cap Fund,5,80.764,75.52,6099.69,23-Jan-26,89.7164,"7,245.86",0,1146.16,18.79,Gold
ADITYA BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LTD,ADITYA BIRLA SUN LIFE INTERNATIONAL EQUITY FUND PLAN A GROWTH,Others,Fund Of Funds Domestic Or Overseas Fund,0,132.161,45.4,5999.71,23-Jan-26,48.6856,"6,434.34",0,434.62,7.24,N/A
AXIS ASSET MANAGEMENT COMPANY LIMITED,AXIS GOLD FUND - GROWTH,Others,Fund Of Funds Domestic Or Overseas Fund,5,137.776,37.01,5099.76,23-Jan-26,44.6426,"6,150.68",0,1050.91,20.61,N/A
MOTILAL OSWAL ASSET MANAGEMENT COMPANY LIMITED,Motilal Oswal Nifty Bank Index Fund-Regular Growth,Equity,Index Fund,0,279.613,19.67,5499.74,23-Jan-26,20.713,"5,791.62",0,291.89,5.31,N/A
ICICI PRUDENTIAL MUTUAL FUND,ICICI Prudential Dividend Yield Equity Fund - Growth,Equity,Dividend Yield Fund,0,99.064,50.47,4999.76,23-Jan-26,53.05,"5,255.35",0,255.59,5.11,Silver
NIPPON INDIA MUTUAL FUND,Nippon India Value Fund - Growth Option,Equity,Value Fund,4,21.026,190.23,3999.73,23-Jan-26,223.4227,"4,697.69",0,697.95,17.45,Gold
Quant Money Managers Ltd,Quant Small Cap Fund Regular Plan - Growth,Equity,Small Cap Fund,4,19.773,265.33,5246.31,23-Jan-26,229.4621,"4,537.15",-2800.79,-709.15,13.52,Gold
MAHINDRA ASSET MANAGEMENT COMPANY PRIVATE LIMITED,Mahindra Manulife Mid Cap Fund - Regular - Growth,Equity,Mid Cap Fund,3,71.12,28.12,1999.89,23-Jan-26,32.4341,"2,306.71",0,306.82,15.34,N/A
